course,item,name,n,t1_mean,t1_sd,t3_mean,t3_sd,mean_d,sd_d,median_d,iqr_lo,iqr_hi,n_plus,n_zero,n_minus,V,p_exact,Z,r_rb,ci_lo,ci_hi
Course A,Q1,AI tutor enhances learning,13,4.0,0.58,4.08,0.76,0.08,0.95,0,0,1,5,5,3,31.0,1.0,0.52,0.15,-0.41,0.69
Course A,Q2,Encourages critical thinking,13,3.54,0.78,3.77,0.83,0.23,0.93,0,0,1,6,5,2,22.0,0.5879,1.18,0.35,-0.21,0.89
Course A,Q3,Recall/apply prior concepts,13,3.92,0.49,4.31,0.63,0.38,0.65,0,0,1,4,9,0,0.0,1.0,1.99,0.51,0.14,0.77
Course A,Q4,User-friendly,13,4.0,0.71,4.31,0.63,0.31,0.63,0,0,0,3,10,0,0.0,0.5417,1.73,0.4,0.0,0.69
Course A,Q5,Feedback vs instructor,13,3.69,0.95,4.08,0.86,0.38,0.77,0,0,1,5,7,1,10.0,0.6355,1.66,0.47,0.0,0.84
Course A,Q6,Instructor prompts help,13,3.85,0.9,4.23,0.73,0.38,0.77,0,0,1,5,7,1,10.0,0.6355,1.66,0.47,0.0,0.84
Course A,Q7,Equity/background,13,4.08,0.49,3.77,0.93,-0.31,0.95,0,-1,0,2,7,4,19.0,0.0681,-0.96,-0.27,-0.71,0.27
Course A,Q8,Prep for lecture,13,3.38,0.87,4.08,0.76,0.69,0.95,1,0,1,8,4,1,8.5,0.0681,2.34,0.7,0.24,0.97
Course A,Q9,Understand examples,13,3.69,0.63,4.23,0.6,0.54,0.78,0,0,1,5,8,0,0.0,0.5417,2.22,0.6,0.27,0.89
Course A,Q10,Reduce outside needs,13,3.85,0.69,4.15,0.55,0.31,0.63,0,0,1,5,7,1,10.5,0.6848,1.63,0.46,0.0,0.84
Course A,Q11,Aware of AI integration,13,3.77,0.73,4.0,0.71,0.23,0.44,0,0,0,3,10,0,0.0,0.5417,1.73,0.4,0.0,0.69
Course B,Q1,AI tutor enhances learning,16,3.88,0.34,4.0,0.82,0.12,0.89,0.0,0,1,6,7,3,39.0,0.9799,0.83,0.22,-0.31,0.73
Course B,Q2,Encourages critical thinking,16,3.62,0.5,3.69,0.6,0.06,0.68,0.0,0,1,4,9,3,39.0,0.4332,0.38,0.1,-0.4,0.55
Course B,Q3,Recall/apply prior concepts,16,4.19,0.75,4.12,0.72,-0.06,0.57,0.0,0,0,2,11,3,28.0,0.0386,-0.45,-0.1,-0.51,0.33
Course B,Q4,User-friendly,16,4.19,0.75,4.38,0.62,0.19,0.75,0.0,0,1,6,7,3,36.0,0.8603,1.0,0.26,-0.24,0.73
Course B,Q5,Feedback vs instructor,16,3.62,0.72,3.5,0.89,-0.12,0.96,0.0,-1,0,3,8,5,38.5,0.1439,-0.64,-0.17,-0.64,0.33
Course B,Q6,Instructor prompts help,16,3.94,0.57,4.0,0.73,0.06,1.0,0.0,-1,1,7,4,5,56.0,0.9399,0.38,0.1,-0.43,0.62
Course B,Q7,Equity/background,16,4.0,0.97,4.12,0.62,0.12,0.81,0.0,0,1,4,9,3,37.5,0.4954,0.46,0.12,-0.37,0.6
Course B,Q8,Prep for lecture,16,3.25,1.0,3.69,0.95,0.44,1.41,0.0,-1,2,6,5,5,45.0,0.7057,0.82,0.23,-0.34,0.69
Course B,Q9,Understand examples,16,3.81,0.66,3.75,0.77,-0.06,0.93,0.0,-1,1,5,6,5,55.0,0.5282,-0.14,-0.04,-0.55,0.48
Course B,Q10,Reduce outside needs,16,3.69,0.95,3.5,1.21,-0.19,1.17,0.0,-1,0,3,7,6,39.0,0.1439,-0.82,-0.22,-0.71,0.3
Course B,Q11,Aware of AI integration,16,4.38,0.62,4.44,0.63,0.06,0.68,0.0,0,0,3,12,1,16.0,0.1928,0.89,0.19,-0.23,0.6
